index,name,description,group,unit
1,Per_int_AB,period of interphase of AB,2 cell,time point
2,Per_int_P1,period of interphase of P1,2 cell,time point
3,Per_int_ABa,period of interphase of ABa,4 cell,time point
4,Per_int_ABp,period of interphase of ABp,4 cell,time point
5,Per_int_EMS,period of interphase of EMS,4 cell,time point
6,Per_int_P2,period of interphase of P2,4 cell,time point
7,Per_mit_P0,period of mitotic phase of P0,1-2 cell,time point
8,Per_mit_AB,period of mitotic phase of AB,2 cell-4 cell,time point
9,Per_mit_P1,period of mitotic phase of P1,2 cell-4 cell,time point
10,Per_mit_ABa,period of mitotic phase of ABa,4 cell-8 cell,time point
11,Per_mit_ABp,period of mitotic phase of ABp,4 cell-8 cell,time point
12,Per_mit_EMS,period of mitotic phase of EMS,4 cell-8 cell,time point
13,Per_mit_P2,period of mitotic phase of P2,4 cell-8 cell,time point
14,NucSph_AB,sphericity of AB nucleus,2 cell,
15,NucSph_P1,sphericity of P1 nucleus,2 cell,
16,NucSph_ABa,sphericity of ABa nucleus,4 cell,
17,NucSph_ABp,sphericity of ABp nucleus,4 cell,
18,NucSph_EMS,sphericity of EMS nucleus,4 cell,
19,NucSph_P2,sphericity of P2 nucleus,4 cell,
20,NucVol_AB,volume of AB nucleus,2 cell,mm^3
21,NucVol_P1,volume of P1 nucleus,2 cell,mm^3
22,NucVol_ABa,volume of ABa nucleus,4 cell,mm^3
23,NucVol_ABp,volume of ABp nucleus,4 cell,mm^3
24,NucVol_EMS,volume of EMS nucleus,4 cell,mm^3
25,NucVol_P2,volume of P2 nucleus,4 cell,mm^3
26,NucVol_AB/P1,NucVol_AB / NucVol_P1,2 cell,
27,NucVol_ABa/AB,NucVol_ABa / NucVol_AB,4 cell,
28,NucVol_ABp/AB,NucVol_ABp / NucVol_AB,4 cell,
29,NucVol_ABa/ABp,NucVol_ABa / NucVol_ABp,4 cell,
30,NucVol_EMS/P1,NucVol_EMS / NucVol_P1,4 cell,
31,NucVol_P2/P1,NucVol_P2 / NucVol_P1,4 cell,
32,NucVol_EMS/P2,NucVol_EMS / NucVol_P2,4 cell,
33,DivAxis_P0_ap,angle between the projection of division axis of P0 onto AP-DV plane and the AP axis,1-2 cell,?
34,DivAxis_P0_dv,angle between the projection of division axis of P0 onto DV-LR plane and the DV axis,1-2 cell,?
35,DivAxis_P0_lr,angle between the projection of division axis of P0 onto LR-AP plane and the LR axis,1-2 cell,?
36,DivAxis_AB_ap,angle between the projection of division axis of AB onto AP-DV plane and the AP axis,2 cell-4 cell,?
37,DivAxis_AB_dv,angle between the projection of division axis of AB onto DV-LR plae and the DV axis,2 cell-4 cell,?
38,DivAxis_AB_lr,angle between the projection of division axis of AB onto LR-AP plane and the LR axis,2 cell-4 cell,?
39,DivAxis_P1_ap,angle between the projection of division axis of P1 onto AP-DV plane and the AP axis,2 cell-4 cell,?
40,DivAxis_P1_dv,angle between the projection of division axis of P1 onto DV-LR plane and the DV axis,2 cell-4 cell,?
41,DivAxis_P1_lr,angle between the projection of division axis of P1 onto LR-AP plane and the LR axis,2 cell-4 cell,?
42,DivAxis_ABa_ap,angle between the projection of division axis of ABa onto AP-DV plane and the AP axis,4 cell-8 cell,?
43,DivAxis_ABa_dv,angle between the projection of division axis of ABa onto DV-LR plane and the DV axis,4 cell-8 cell,?
44,DivAxis_ABa_lr,angle between the projection of division axis of ABa onto LR-AP plane and the LR axis,4 cell-8 cell,?
45,DivAxis_ABp_ap,angle between the projection of division axis of ABp onto AP-DV plane and the AP axis,4 cell-8 cell,?
46,DivAxis_ABp_dv,angle between the projection of division axis of ABp onto DV-LR plane and the DV axis,4 cell-8 cell,?
47,DivAxis_ABp_lr,angle between the projection of division axis of ABp onto LR-AP plane and the LR axis,4 cell-8 cell,?
48,DivAxis_EMS_ap,angle between the projection of division axis of EMS onto AP-DV plane and the AP axis,4 cell-8 cell,?
49,DivAxis_EMS_dv,angle between the projection of division axis of EMS onto DV-LR plane and the DV axis,4 cell-8 cell,?
50,DivAxis_EMS_lr,angle between the projection of division axis of EMS onto LR-AP plane and the LR axis,4 cell-8 cell,?
51,DivAxis_P2_ap,angle between the projection of division axis of P2 onto AP-DV plane and the AP axis,4 cell-8 cell,?
52,DivAxis_P2_dv,angle between the projection of division axis of P2 onto DV-LR plane and the DV axis,4 cell-8 cell,?
53,DivAxis_P2_lr,angle between the projection of division axis of P2 onto LR-AP plane and the LR axis,4 cell-8 cell,?
54,DivAxis_wt_P0,angle between division axis of P0 and the mean division axis of P0 of wt embryos,1-2 cell,?
55,DivAxis_wt_AB,angle between division axis of AB and the mean division axis of AB of wt embryos,2 cell-4 cell,?
56,DivAxis_wt_P1,angle between division axis of P1 and the mean division axis of P1 of wt embryos,2 cell-4 cell,?
57,DivAxis_wt_ABa,angle between division axis of ABa and the mean division axis of ABa of wt embryos,4 cell-8 cell,?
58,DivAxis_wt_ABp,angle between division axis of ABp and the mean division axis of ABp of wt embryos,4 cell-8 cell,?
59,DivAxis_wt_EMS,angle between division axis of EMS and the mean division axis of EMS of wt embryos,4 cell-8 cell,?
60,DivAxis_wt_P2,angle between division axis of P2 and the mean division axis of P2 of wt embryos,4 cell-8 cell,?
61,DivAng_P0-AB,angle between division axis of P0 and division axis of AB,2 cell-4 cell,?
62,DivAng_P0-P1,angle between division axis of P0 and division axis of P1,2 cell-4 cell,?
